iter	Logloss
0	0.6864809993
1	0.6803933031
2	0.6749736653
3	0.6692034906
4	0.6647172009
5	0.6596173868
6	0.6549383573
7	0.6506686795
8	0.6466687641
9	0.6426838791
10	0.6390158407
11	0.6352823135
12	0.6321486624
13	0.6284664728
14	0.6251065266
15	0.6224104601
16	0.6196574591
17	0.6168812345
18	0.6145101857
19	0.612262464
20	0.6098329203
21	0.6076635941
22	0.6055287713
23	0.6037763583
24	0.6018306092
25	0.5997852134
26	0.5978566184
27	0.5962743175
28	0.5943706673
29	0.5927570659
30	0.5912635529
31	0.5899972461
32	0.5885960013
33	0.5872318806
34	0.5858387982
35	0.584571578
36	0.5832599395
37	0.5817863526
38	0.5804626914
39	0.5793157267
40	0.578169012
41	0.576933768
42	0.5756119662
43	0.5742492713
44	0.5732373656
45	0.5722551935
46	0.5712624116
47	0.5702226618
48	0.5692133074
49	0.5682116418
50	0.5672927661
51	0.5666241766
52	0.5658711432
53	0.5650038425
54	0.5641446779
55	0.5632656723
56	0.5624751963
57	0.5615629995
58	0.5607652943
59	0.5600628248
60	0.5594052653
61	0.5586047097
62	0.5579990831
63	0.5573945579
64	0.5567626192
65	0.556188596
66	0.5555081777
67	0.5548116159
68	0.5541731433
69	0.5535030491
70	0.552895652
71	0.5522782185
72	0.5516483512
73	0.5511338192
74	0.5506236114
75	0.5501091919
76	0.5496614521
77	0.549121661
78	0.5485901283
79	0.5481123575
80	0.5475569009
81	0.5470883384
82	0.5466407333
83	0.5461272032
84	0.5455755818
85	0.545099256
86	0.5447754333
87	0.5442643821
88	0.5437963591
89	0.5433521785
90	0.5428848586
91	0.5424111657
92	0.5419655676
93	0.5414801226
94	0.5410512738
95	0.5406415781
96	0.5403158997
97	0.5399366503
98	0.5394634662
99	0.5390708436
100	0.5387029524
101	0.5382635565
102	0.537913528
103	0.5374793604
104	0.5370923909
105	0.5367312596
106	0.5364221768
107	0.5360289223
108	0.5357216489
109	0.5352896065
110	0.5348887217
111	0.5344697788
112	0.534125662
113	0.5337623582
114	0.5334032925
115	0.5330116043
116	0.5327103114
117	0.5323228407
118	0.5320242711
119	0.5315549697
120	0.5313043313
121	0.5309732848
122	0.5306075315
123	0.5302748884
124	0.5298780569
125	0.5295385855
126	0.5291751471
127	0.5289787715
128	0.5287152841
129	0.528439629
130	0.5281291389
131	0.5277781877
132	0.5274186434
133	0.5271223779
134	0.5268143096
135	0.5265701435
136	0.5262830664
137	0.5260433523
138	0.5257851255
139	0.5255345569
140	0.5252188786
141	0.5248815074
142	0.5245265566
143	0.5242478691
144	0.5238727358
145	0.5235516449
146	0.5233007303
147	0.5229191677
148	0.5226095622
149	0.522321696
150	0.5220502374
151	0.5217446065
152	0.5214689929
153	0.521156012
154	0.5208723651
155	0.5206050914
156	0.5202853117
157	0.5200309753
158	0.5197416066
159	0.5194399014
160	0.5191545204
161	0.5189367421
162	0.5187303247
163	0.5184867364
164	0.518202663
165	0.5178619293
166	0.5175785497
167	0.5173603038
168	0.5171224583
169	0.5168405706
170	0.5165660746
171	0.5163091611
172	0.5160176787
173	0.5156980871
174	0.5154411115
175	0.515173826
176	0.5149637351
177	0.5146836127
178	0.5144134517
179	0.5141333973
180	0.5138712111
181	0.5135335899
182	0.5133342709
183	0.5131327391
184	0.5127971343
185	0.5125725652
186	0.5122809703
187	0.512050626
188	0.5118267135
189	0.5114387418
190	0.5111698387
191	0.510937074
192	0.5106524193
193	0.5103690121
194	0.510080388
195	0.5098384831
196	0.5095723336
197	0.509303901
198	0.5090927084
199	0.5089057303
200	0.5087216379
201	0.5085338326
202	0.508270411
203	0.5080072638
204	0.5077184318
205	0.5074788618
206	0.5072302826
207	0.5069836506
208	0.5067699246
209	0.5064906091
210	0.506304792
211	0.506063369
212	0.5058686136
213	0.5055763777
214	0.5053403612
215	0.5051296799
216	0.5048352564
217	0.504571788
218	0.5043888232
219	0.5041914232
220	0.5039910715
221	0.5037541681
